396,166,62,372
166,396,62,203
166,396,292,134
80,166,396,202
202,80,407,134
202,396,407,62
80,134,292,407
80,134,90,56
62,158,396,80
80,396,79,407
290,396,80,158
396,80,56,290
56,396,290,292
56,292,396,273
194,56,292,80
292,194,56,80
56,290,396,194
273,290,194,56
290,56,158,194
396,194,290,56
423,27,56,343
166,254,27,96
254,96,396,166
29,166,356,254
166,56,292,29
166,202,56,62
166,228,56,292
291,166,62,292
62,29,166,291
166,290,228,62
166,62,303,228
62,303,291,156
291,62,158,303
166,303,158,62
275,166,158,303
158,166,275,96
158,96,275,435
202,158,96,197
202,158,275,96
275,62,96,158
96,158,166,275
62,166,231,389
290,62,231,438
231,96,277,62
290,438,29,231
277,290,62,29
277,290,396,29
396,290,29,62
290,62,261,277
277,96,88,261
88,96,277,261
277,261,197,96
88,197,96,277
261,197,96,214
96,197,261,412
158,197,96,261
197,396,96,290
290,197,96,396
396,290,158,197
290,158,396,96
158,396,290,56
396,290,158,81
396,158,290,81
158,396,290,88
158,396,290,81
158,142,202,396
202,158,396,56
142,130,158,202
142,202,158,233
396,158,142,233
156,158,308,396
163,409,308,156
163,409,71,156
163,283,409,190
283,163,290,409
409,422,163,202
422,202,409,441
409,202,422,177
163,291,409,238
409,291,238,284
290,409,284,291
290,291,396,409
290,291,409,396
409,290,291,62
290,291,273,202
409,290,122,202
409,290,291,122
409,122,237,17
202,409,122,237
409,396,273,202
409,202,57,291
96,409,273,57
409,290,396,17
96,409,17,58
409,96,275,17
202,96,275,56
290,56,202,96
197,96,56,290
158,96,80,56
80,56,158,96
328,56,330,121
202,96,56,158
121,96,202,158
96,202,158,396
96,396,121,163
96,197,396,121
158,396,96,56
396,158,56,96
158,396,96,56
158,202,56,396
158,56,202,290
56,290,158,396
290,396,56,158
56,291,293,16
202,56,16,293
56,158,16,121
88,158,16,248
88,16,248,27
290,202,16,248
248,293,16,291
293,248,158,16
16,158,293,291
158,16,293,291
202,158,16,293
396,16,96,158
96,396,158,202
290,81,409,158
291,396,352,81
352,291,81,296
409,352,296,81
352,369,195,38
352,16,369,195
56,202,290,38
56,16,38,194
62,16,194,80
62,80,16,148
80,16,166,148
80,194,16,148
148,62,166,134
62,238,166,148
148,23,238,305
202,148,305,57
423,182,90,148
90,148,163,57
148,90,80,291
80,90,121,57
121,57,81,90
90,290,96,121
57,96,121,90
290,57,202,96
96,303,392,121
96,57,392,303
57,96,121,392
197,121,96,303
121,96,303,131
291,96,423,163
423,291,96,163
267,423,426,96
96,423,163,291
163,267,56,96
291,96,202,56
56,96,290,291
96,56,4,213
96,213,56,202
56,96,213,239
293,56,213,96
56,290,293,96
56,96,290,213
202,96,293,56
96,202,207,56
56,202,96,290
202,96,290,56
202,56,290,96
290,56,202,96
290,56,80,96
134,80,290,303
80,134,290,182
80,290,134,56
80,290,134,96
80,96,208,134
88,80,96,134
88,80,237,96
96,88,80,237
96,88,80,207
80,207,96,208
202,80,207,96
80,202,207,429
80,202,422,429
80,134,202,429
80,422,435,134
134,429,422,80
80,134,429,166
422,202,80,134
80,422,291,134
422,290,80,202
80,290,422,166
166,80,290,202
80,166,202,314
166,80,290,202
202,80,166,163
166,202,80,396
80,166,158,163
80,291,166,22
291,80,166,22
166,267,80,291
166,80,158,440
22,166,80,267
80,166,409,202
166,202,80,291
80,409,202,166
80,202,166,409
80,202,409,56
80,158,409,202
202,158,80,56
80,158,202,238
80,158,291,290
202,158,80,74
409,202,80,158
290,158,80,409
405,158,177,80
158,290,202,80
158,290,80,177
158,80,290,429
158,80,290,360
29,80,158,267
202,158,267,80
422,158,80,318
158,202,422,165
158,202,165,238
158,80,238,290
80,158,207,133
80,158,291,207
80,158,291,396
158,386,207,80
386,158,80,396
158,386,396,80
80,158,396,138
4,80,158,396
290,158,80,396
290,80,396,158
290,80,202,158
202,396,290,80
396,202,80,441
441,202,130,80
202,396,130,441
202,396,130,80
80,202,290,298
80,396,303,386
396,352,303,80
396,352,298,303
386,80,298,208
80,330,396,213
396,80,298,435
396,80,298,435
80,435,158,29
290,80,435,396
158,290,407,80
350,290,407,80
158,80,407,396
407,80,158,54
80,407,290,54
80,290,407,291
407,80,291,290
407,80,291,303
407,396,70,80
407,290,166,175
290,407,175,303
290,396,407,175
290,396,80,407
290,80,396,407
108,80,290,407
290,80,108,212
237,108,80,290
108,80,290,237
80,108,286,237
80,108,237,267
80,108,338,237
290,396,80,237
80,290,96,237
237,290,156,96
237,158,156,290
290,158,237,96
96,158,237,156
96,158,237,290
237,290,156,158
237,158,301,96
290,158,96,301
290,158,202,56
290,202,273,158
158,396,202,273
303,396,158,22
158,429,396,284
96,158,396,197
158,396,80,197
158,396,93,267
80,93,197,158
80,158,93,197
80,429,158,93
80,93,197,303
80,303,197,291
291,303,80,158
80,291,158,386
158,80,290,291
290,158,80,396
396,80,290,158
80,158,386,396
182,396,80,158
93,396,158,80
93,158,182,273
158,93,182,273
158,93,177,273
158,93,273,163
158,286,396,202
396,286,202,158
290,286,396,163
290,286,396,202
290,286,202,303
286,396,88,56
163,182,290,286
290,303,56,182
290,158,286,388
290,158,58,286
290,158,202,286
58,286,158,290
286,156,254,207
4,254,290,286
286,290,254,284
163,254,286,388
71,290,286,275
422,286,275,290
275,290,286,422
286,202,275,290
290,202,44,158
44,158,431,328
290,431,301,284
132,431,301,44
291,158,431,422
422,429,431,436
431,422,16,207
431,16,291,237
202,237,420,423
345,254,16,237
202,345,237,303
237,80,301,138
80,290,301,138
16,290,303,138
345,438,80,303
80,303,438,4
303,80,291,158
93,303,80,291
422,80,93,16
88,303,93,80
93,163,202,293
93,56,293,202
44,93,303,56
303,290,56,44
293,44,290,166
303,290,166,293
44,290,422,197
44,286,422,96
422,194,202,275
275,422,194,71
303,197,194,80
275,182,80,130
202,303,80,275
275,80,182,202
202,80,166,275
80,202,275,286
166,202,80,286
202,286,166,80
80,202,286,166
202,286,166,182
202,286,166,182
166,286,96,291
194,409,286,163
286,409,56,166
286,290,409,56
290,56,409,286
286,157,409,96
286,409,233,56
56,233,409,286
233,286,56,409
56,286,409,233
157,286,409,56
157,328,286,96
96,286,409,80
96,409,286,233
80,286,303,409
80,286,409,131
286,409,157,80
405,291,290,131
291,409,11,70
375,290,72,56
56,286,409,350
286,409,275,56
330,290,56,409
290,330,386,286
328,286,275,330
286,386,290,328
158,286,163,386
286,158,386,80
158,286,290,330
93,80,286,158
158,429,286,80
80,290,277,429
290,158,286,429
202,158,286,291
93,158,277,429
277,158,93,429
93,158,56,277
93,158,166,56
202,267,158,24
158,277,166,286
158,166,202,277
158,56,237,438
197,56,202,4
56,197,291,4
158,237,56,303
56,237,158,277
158,277,237,286
158,277,237,132
277,158,237,286
56,158,131,237
237,56,158,96
158,237,166,96
290,158,166,4
158,131,96,237
158,254,237,131
131,237,158,254
158,237,254,166
158,254,237,303
158,237,254,277
158,254,237,303
158,254,303,277
254,158,277,237
158,290,254,237
254,158,237,277
182,158,254,237
254,158,182,237
182,158,254,237
158,182,254,237
158,237,182,254
158,163,290,202
158,202,409,80
202,409,163,396
396,409,158,202
202,290,396,158
202,158,396,80
158,202,290,96
290,158,56,237
237,409,56,396
163,409,56,237
194,396,409,237
396,158,237,409
202,237,396,409
93,202,158,237
70,237,409,239
70,409,237,208
422,70,202,208
290,202,293,396
293,237,158,208
237,158,254,157
158,237,202,157
237,290,202,96
293,237,202,96
290,96,202,237
237,254,202,96
254,96,202,237
96,254,237,158
254,202,237,96
254,290,237,96
254,96,237,11
96,11,254,237
237,96,254,202
11,254,237,163
291,197,96,212
291,254,410,212
291,410,212,195
197,237,212,388
422,291,156,388
202,132,291,422
422,291,202,132
96,291,202,422
178,422,163,195
178,422,195,254
4,154,303,422
178,303,80,422
23,422,96,4
4,422,56,93
4,422,56,93
56,96,4,178
96,56,4,178
429,96,80,178
178,96,237,388
96,290,80,388
290,96,80,203
96,80,178,290
291,96,80,178
80,96,291,290
80,178,291,96
418,80,291,96
80,96,286,254
290,96,286,80
96,56,254,132
56,291,96,132
290,56,275,96
291,132,96,56
197,291,132,96
254,197,96,293
96,56,27,166
27,166,301,202
67,166,27,56
56,27,166,197
27,166,56,67
290,56,166,27
291,166,67,27
166,67,56,27
56,166,67,303
16,166,56,67
67,56,303,16
190,56,67,27
